,0,1,2,3,4
0,"[234, 232, 238]","[111, 111, 117]","[40, 37, 36]","[204, 51, 50]","[189, 162, 156]"
1,"[203, 62, 50]","[90, 144, 152]","[248, 198, 97]","[48, 30, 40]","[234, 232, 228]"
2,"[252, 247, 217]","[192, 4, 2]","[248, 51, 18]","[254, 254, 251]","[253, 172, 120]"
3,"[66, 60, 55]","[162, 167, 137]","[79, 87, 88]","[34, 33, 33]","[107, 111, 106]"
4,"[184, 112, 21]","[255, 255, 255]","[86, 44, 14]","[235, 187, 68]","[150, 80, 10]"
5,"[186, 115, 23]","[255, 255, 255]","[153, 82, 9]","[239, 191, 70]","[90, 47, 15]"
6,"[13, 1, 0]","[181, 51, 26]","[241, 212, 176]","[106, 19, 10]","[213, 128, 79]"
7,"[171, 153, 113]","[34, 28, 18]","[109, 82, 50]","[219, 212, 180]","[199, 183, 142]"
8,"[109, 82, 50]","[199, 183, 142]","[34, 28, 18]","[171, 153, 113]","[219, 212, 180]"
9,"[162, 134, 116]","[243, 243, 244]","[40, 20, 36]","[100, 68, 73]","[194, 178, 170]"
10,"[108, 73, 55]","[245, 239, 241]","[166, 121, 95]","[44, 35, 26]","[209, 176, 154]"
11,"[61, 39, 31]","[140, 132, 124]","[9, 7, 6]","[106, 82, 79]","[180, 171, 168]"
12,"[61, 39, 31]","[140, 132, 124]","[9, 7, 6]","[106, 82, 79]","[180, 171, 168]"
13,"[33, 164, 69]","[3, 21, 14]","[189, 242, 36]","[144, 96, 61]","[122, 219, 105]"
14,"[37, 39, 39]","[189, 189, 174]","[43, 80, 109]","[138, 133, 116]","[100, 88, 67]"
15,"[100, 88, 67]","[37, 39, 39]","[189, 189, 174]","[43, 80, 109]","[138, 133, 116]"
16,"[83, 85, 123]","[189, 159, 159]","[137, 125, 128]","[229, 200, 179]","[0, 0, 0]"
17,"[131, 81, 63]","[26, 17, 16]","[164, 113, 81]","[85, 56, 42]","[251, 251, 252]"
18,"[35, 18, 16]","[178, 139, 110]","[113, 66, 50]","[214, 183, 152]","[144, 100, 77]"
19,"[144, 100, 77]","[214, 183, 152]","[178, 139, 110]","[35, 18, 16]","[113, 66, 50]"
20,"[54, 66, 142]","[171, 137, 126]","[64, 35, 39]","[202, 177, 162]","[149, 88, 103]"
21,"[82, 48, 40]","[13, 11, 11]","[237, 235, 235]","[39, 24, 14]","[143, 109, 109]"
22,"[13, 11, 11]","[143, 109, 109]","[82, 48, 40]","[237, 235, 235]","[39, 24, 14]"
23,"[62, 16, 11]","[237, 234, 245]","[121, 63, 56]","[180, 131, 138]","[190, 133, 37]"
24,"[156, 160, 174]","[230, 235, 238]","[50, 50, 70]","[121, 109, 124]","[191, 194, 202]"
25,"[128, 101, 112]","[193, 192, 198]","[38, 48, 70]","[148, 158, 176]","[230, 235, 238]"
26,"[201, 134, 81]","[6, 8, 7]","[64, 56, 63]","[104, 123, 143]","[232, 200, 167]"
27,"[147, 134, 123]","[34, 27, 20]","[80, 65, 54]","[193, 190, 183]","[117, 96, 84]"
28,"[5, 11, 3]","[240, 237, 229]","[183, 170, 137]","[104, 64, 28]","[159, 132, 63]"
29,"[104, 64, 28]","[240, 237, 229]","[5, 11, 3]","[183, 170, 138]","[159, 132, 64]"
30,"[13, 9, 9]","[142, 111, 109]","[26, 28, 30]","[43, 55, 59]","[196, 168, 154]"
31,"[20, 20, 21]","[157, 102, 71]","[82, 43, 25]","[238, 235, 233]","[122, 72, 41]"
32,"[235, 182, 143]","[20, 27, 22]","[52, 158, 201]","[129, 84, 44]","[241, 199, 38]"
33,"[241, 199, 38]","[20, 27, 22]","[52, 158, 201]","[235, 182, 143]","[129, 84, 44]"
34,"[37, 24, 17]","[194, 179, 5]","[223, 185, 98]","[128, 94, 44]","[249, 247, 229]"
35,"[127, 93, 43]","[194, 179, 5]","[249, 247, 229]","[36, 23, 17]","[223, 184, 97]"
36,"[194, 179, 5]","[127, 93, 43]","[249, 247, 229]","[36, 23, 17]","[223, 185, 98]"
37,"[211, 151, 92]","[83, 28, 9]","[248, 236, 217]","[169, 90, 33]","[0, 0, 0]"
38,"[248, 236, 217]","[169, 90, 33]","[0, 0, 0]","[211, 151, 92]","[83, 28, 9]"
