,Unnamed: 0,id,gif_id,x,y,url,strength,emotion,colors
0,0,110,4057,-0.124,-0.394737,http://s3-ec.buzzfed.com/static/enhanced/webdr06/2013/7/20/0/anigif_enhanced-buzz-3386-1374296077-12.gif,0.41375511980999996,bored,"[[234, 232, 238], [111, 111, 117], [40, 37, 36], [204, 51, 50], [189, 162, 156]]"
1,1,109,6246,0.348,-0.218045,http://s3-ec.buzzfed.com/static/enhanced/webdr06/2013/9/16/18/anigif_enhanced-buzz-1241-1379371693-4.gif,0.41066728872,serene,"[[203, 62, 50], [90, 144, 152], [248, 198, 97], [48, 30, 40], [234, 232, 228]]"
2,2,114,7702,0.390667,-0.033835000000000004,http://s3-ec.buzzfed.com/static/2014-01/enhanced/webdr03/8/10/anigif_enhanced-buzz-13283-1389196643-0.gif,0.39212945835999996,pleasant,"[[252, 247, 217], [192, 4, 2], [248, 51, 18], [254, 254, 251], [253, 172, 120]]"
3,3,113,6925,0.053333000000000005,-0.09774400000000001,http://s3-ec.buzzfed.com/static/enhanced/webdr02/2013/6/8/7/anigif_enhanced-buzz-597-1370690402-1.gif,0.11134764669700001,relaxed,"[[66, 60, 55], [162, 167, 137], [79, 87, 88], [34, 33, 33], [107, 111, 106]]"
4,4,112,1355,-0.354667,-0.154135,http://s3-ec.buzzfed.com/static/2014-10/20/16/enhanced/webdr02/anigif_enhanced-20821-1413837773-20.gif,0.386712139859,sad,"[[184, 112, 21], [255, 255, 255], [86, 44, 14], [235, 187, 68], [150, 80, 10]]"
5,5,3413,1355,0.193103,-0.06310700000000001,http://s3-ec.buzzfed.com/static/2014-10/20/16/enhanced/webdr02/anigif_enhanced-20821-1413837773-20.gif,0.203153296941,contented,"[[186, 115, 23], [255, 255, 255], [153, 82, 9], [239, 191, 70], [90, 47, 15]]"
6,6,120,8074,0.31466700000000003,-0.21052600000000002,http://s3-ec.buzzfed.com/static/enhanced/webdr01/2013/8/31/3/anigif_enhanced-buzz-4293-1377933759-4.gif,0.378598095036,serene,"[[13, 1, 0], [181, 51, 26], [241, 212, 176], [106, 19, 10], [213, 128, 79]]"
7,7,115,3804,-0.35600000000000004,0.131579,http://s3-ec.buzzfed.com/static/enhanced/terminal05/2012/2/2/22/anigif_enhanced-buzz-27840-1328240294-92.gif,0.37953792068899994,upset,"[[171, 153, 113], [34, 28, 18], [109, 82, 50], [219, 212, 180], [199, 183, 142]]"
8,8,1840,3804,-0.145333,-0.139098,http://s3-ec.buzzfed.com/static/enhanced/terminal05/2012/2/2/22/anigif_enhanced-buzz-27840-1328240294-92.gif,0.201171405754,unhappy,"[[109, 82, 50], [199, 183, 142], [34, 28, 18], [171, 153, 113], [219, 212, 180]]"
9,9,116,4922,-0.393333,-0.150376,http://s3-ec.buzzfed.com/static/enhanced/webdr01/2013/8/28/17/anigif_enhanced-buzz-28381-1377724352-15.gif,0.42109831425099997,sad,"[[162, 134, 116], [243, 243, 244], [40, 20, 36], [100, 68, 73], [194, 178, 170]]"
10,10,117,778,0.358667,0.165414,http://s3-ec.buzzfed.com/static/2013-10/enhanced/webdr06/4/17/anigif_enhanced-buzz-9782-1380922558-9.gif,0.394973174133,happy,"[[108, 73, 55], [245, 239, 241], [166, 121, 95], [44, 35, 26], [209, 176, 154]]"
11,11,118,7472,0.198667,0.334586,http://s3-ec.buzzfed.com/static/2013-10/enhanced/webdr05/3/9/anigif_enhanced-buzz-29472-1380807713-21.gif,0.389122562035,excited,"[[61, 39, 31], [140, 132, 124], [9, 7, 6], [106, 82, 79], [180, 171, 168]]"
12,12,3248,7472,0.145333,0.116541,http://s3-ec.buzzfed.com/static/2013-10/enhanced/webdr05/3/9/anigif_enhanced-buzz-29472-1380807713-21.gif,0.186288715627,elated,"[[61, 39, 31], [140, 132, 124], [9, 7, 6], [106, 82, 79], [180, 171, 168]]"
13,13,119,3062,-0.168,0.28571399999999997,http://s3-ec.buzzfed.com/static/enhanced/webdr06/2013/8/7/18/anigif_enhanced-buzz-31114-1375913004-9.gif,0.331446058652,nervous,"[[33, 164, 69], [3, 21, 14], [189, 242, 36], [144, 96, 61], [122, 219, 105]]"
14,14,111,4363,0.252,-0.120301,http://s3-ec.buzzfed.com/static/enhanced/webdr06/2013/6/25/10/anigif_enhanced-buzz-31686-1372170883-2.gif,0.279242422638,contented,"[[37, 39, 39], [189, 189, 174], [43, 80, 109], [138, 133, 116], [100, 88, 67]]"
